id,Note,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,hyperlink,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:eating: (interaction),Prey item,Status,Class,Order,suborder,Family,subfamily,Genus,Prey.check,Check genus,Check sp.,Check (?)
125267,eating,27/03/1990,27/03/1990,,Pacific Time (US & Canada),FALSE,8060,herpguy,2012-09-19 23:41:59 UTC,2018-04-13 15:00:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/125267,http://www.inaturalist.org/observations/125267,https://static.inaturalist.org/photos/177337/medium.JPG,,,This egg-eating snake was observed at night on the main road 26 km north of Grunau in Karasburg District in southern Namibia.,FALSE,4,0,FALSE,,"Grunau, Namibia",-27.43024667,18.49456987,,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
129384,eating,18/01/2004,18/01/2004,,Central Time (US & Canada),FALSE,2098,toby,2012-10-02 20:18:36 UTC,2018-01-14 17:33:55 UTC,research,,http://www.inaturalist.org/observations/129384,http://www.inaturalist.org/observations/129384,https://static.inaturalist.org/photos/182854/medium.jpg?1444965262,,,,FALSE,2,0,FALSE,,Molopo Nature Reserve,-25.7906496,22.8939647,16756,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
509028,predation,01/09/1980,01/09/1980,1980-09-01 12:20:00 UTC,Harare,,23072,i_c_riddell,2014-01-24 13:13:38 UTC,2018-01-29 14:52:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/509028,http://www.inaturalist.org/observations/509028,https://static.inaturalist.org/photos/648223/medium.jpg?1390569225,,mortality,"dead under Julbernardia globiflora near old antbear hole (home?). Feathers/droppings indicate scavenging (vultures/raptors?); c.10 days dead, some meat not yet quite dry beneath skin but most eaten. Hairs (white w russet ends) found on body (predator?). 4 sections measured to obtain length
",FALSE,2,0,FALSE,,Chizarira National Park,-17.75755,27.86028,50,,,FALSE,,,Southern African Python,Python natalensis,Southern African Python,Reptilia,111451,,,Removed,,,,,,,,,,
646879,eating,Mon Apr 28 2014 07:56:50 GMT+0200 (GMT+2),28/04/2014,2014-04-28 05:56:50 UTC,Africa/Johannesburg,TRUE,13916,bryanmaritz,2014-04-28 08:12:42 UTC,2017-11-17 14:13:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/646879,http://www.inaturalist.org/observations/646879,https://static.inaturalist.org/photos/815321/medium.jpg?1398672885,,,,FALSE,2,0,FALSE,3,Kruger Gate Road,-24.992011,31.557768,407,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
1356023,prey,31/03/2015,31/03/2015,,Africa/Johannesburg,TRUE,4132,pecardoso,2015-04-01 20:26:59 UTC,2018-09-03 18:48:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1356023,http://www.inaturalist.org/observations/1356023,https://static.inaturalist.org/photos/1678397/medium.jpg?1427920027,,"snake, Mozambique, Benga, Zambezi","Found by a family into their corn field preying on this C. turneri (that managed to scape).
A corn field among the Zambezi river and large internal natural swamps.

I'm not completely sure if it is a P. semivariegatus.
",FALSE,1,0,FALSE,,"Tete, MZ",-16.10458628,33.73557005,2869,obscured,,TRUE,,,Spotted Bush Snake,Philothamnus semivariegatus,Spotted Bush Snake,Reptilia,29073,,Chondrodactylus turneri,Included,Reptilia,Squamata,Sauria,Gekkonidae,,Chondrodactylus,1,1,0,0
2425761,eating,25/11/2015,25/11/2015,2015-11-25 09:22:15 UTC,London,,155788,venom92,2015-11-25 19:47:09 UTC,2019-08-19 09:48:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2425761,http://www.inaturalist.org/observations/2425761,https://static.inaturalist.org/photos/2700797/medium.JPG?1448480851,,"Brown House Snake, Boaedon fuliginosus, Lamprophis fuliginosus",Walking around and herd a squeal then saw this little guy eating a shrew.,FALSE,5,2,FALSE,,"Capricorn, ZA-NP, ZA",-22.7355556,28.77194444,730,,,FALSE,,,Cape House Snake,Boaedon capensis,Cape House Snake,Reptilia,539396,,Muridae,Included,Mammalia,Rodentia,Myomorpha,Muridae,,,0,0,0,0
4723832,eating,Mon Dec 05 2016 17:14:17 GMT+0200 (GMT+2),05/12/2016,2016-12-05 15:14:17 UTC,Africa/Johannesburg,,371668,willemvzyl,2016-12-06 12:08:50 UTC,2018-02-28 22:42:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4723832,http://www.inaturalist.org/observations/4723832,https://static.inaturalist.org/photos/5711763/medium.jpg?1481026155,,,,FALSE,4,0,FALSE,3,"33 Keel Close, Blouberg, WC, ZA",-33.79932051,18.47508821,125,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
5912236,prey,2017/04/07 8:47 PM PDT,07/04/2017,2017-04-08 03:47:00 UTC,Pacific Time (US & Canada),TRUE,224428,kmherpkid,2017-04-22 22:19:20 UTC,2017-10-06 18:05:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5912236,https://www.inaturalist.org/observations/5912236,https://static.inaturalist.org/photos/7374153/medium.jpeg?1492898775,,,"Close to dead, the back half of its body seemed to have been eaten by a bird of prey or something",FALSE,1,0,FALSE,,"Ehlanzeni, South Africa",-24.62526267,31.49480209,488,,,FALSE,,,Common purple-glossed snake,Amblyodipsas polylepis,Common Purple-glossed Snake,Reptilia,63995,,,Removed,,,,,,,,,,
8075550,eating,2013-11-02 8:09:00 am GMT+02:00,02/11/2013,2013-11-02 06:09:00 UTC,Africa/Johannesburg,,632684,shirleyhitschmann,2017-09-24 20:26:24 UTC,2017-11-03 12:16:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8075550,https://www.inaturalist.org/observations/8075550,https://static.inaturalist.org/photos/10705342/medium.jpeg?1506284792,,,Found & released in the garden,FALSE,3,0,FALSE,2,"Manicaland, ZW",-18.81650979,32.73542055,12,obscured,,TRUE,gps,gps,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
8381375,S-Afr-Interactions (8-1-20),04/11/2006,04/11/2006,,Pretoria,,662724,bushboy,2017-10-13 04:32:21 UTC,2018-04-02 15:48:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8381375,https://www.inaturalist.org/observations/8381375,https://static.inaturalist.org/photos/11146983/medium.jpeg?1507868879,,,Youngster shot out the ventilation duct in the sitting room and snatched the unfortunate Tropical House Gecko off the wall,FALSE,4,0,FALSE,,"Uvongo, Margate, 4270, South Africa",-30.83442745,30.38677812,8,,,FALSE,,,Brown House Snake,Boaedon capensis,Cape House Snake,Reptilia,539396,https://www.inaturalist.org/observations/8381446,Hemidactylus mabouia,Included,Reptilia,Squamata,Sauria,Gekkonidae,,Hemidactylus,1,1,0,0
8412266,eating,2014/02/07 1:55 PM CST,07/02/2014,2014-02-07 19:55:00 UTC,Central Time (US & Canada),,37403,jacobddowen,2017-10-15 13:37:45 UTC,2017-10-17 16:17:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8412266,https://www.inaturalist.org/observations/8412266,https://static.inaturalist.org/photos/11196134/medium.jpeg?1508074162,,,,FALSE,2,0,FALSE,,"Lubombo, , Lubombo, SZ",-26.2977549,31.75661974,144557,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
8466707,S-Afr-Interactions (8-1-20),2017/10/18 3:28 PM SAST,10/18/2017,2017-10-18 13:28:00 UTC,Africa/Johannesburg,,390621,colin25,2017-10-19 16:52:57 UTC,2018-04-25 03:37:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8466707,https://www.inaturalist.org/observations/8466707,https://static.inaturalist.org/photos/11286855/medium.jpeg?1508431960,,,"A bit, cached by Fiscal Shrike, think it has scales",FALSE,2,0,FALSE,,Garden Route Botanical Garden,-33.94495167,22.46244667,,,,FALSE,,,Duberria lutrix lutrix,Duberria lutrix lutrix,Southern Slugeater,Reptilia,30329,,,Removed,,,,,,,,,,
8778439,eating,2017/11/11 8:18 PM SAST,11/11/2017,2017-11-11 18:18:00 UTC,Africa/Johannesburg,,689073,jouberth,2017-11-12 11:57:17 UTC,2017-11-13 10:51:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8778439,https://www.inaturalist.org/observations/8778439,https://static.inaturalist.org/photos/11782253/medium.jpeg?1510487533,,,,FALSE,3,0,FALSE,,North of Dinokeng,-25.22933167,28.44326167,,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
8862953,eating,Mon Oct 09 2017 20:16:06 GMT+0200 (GMT+2),09/10/2017,2017-10-09 18:16:06 UTC,Africa/Johannesburg,,13916,bryanmaritz,2017-11-19 18:14:43 UTC,2018-01-14 17:34:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8862953,https://www.inaturalist.org/observations/8862953,https://static.inaturalist.org/photos/11915111/medium.jpg?1511115288,,,,FALSE,2,0,FALSE,3,"14 Grand National Boulevard, Milnerton, WC, ZA",-33.85649167,18.51049667,5,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
8884612,eating,2006/02/23 9:12 PM CST,23/02/2006,2006-02-24 03:12:00 UTC,Central Time (US & Canada),FALSE,13916,bryanmaritz,2017-11-21 10:53:54 UTC,2018-11-27 10:01:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8884612,https://www.inaturalist.org/observations/8884612,https://static.inaturalist.org/photos/11949566/medium.jpg?1511261542,,,Eating Giant Legless Skink (Acontias plumbeus). Both animal hit by car.,FALSE,3,0,FALSE,,"Mtunzini, South Africa",-28.94514307,31.76018715,61,,,FALSE,,,Black File Snake,Gracililima nyassae,Black File Snake,Reptilia,797682,,Acontias plumbeus,Included,Reptilia,Squamata,Sauria,Scincidae,Acontinae,Acontias,1,1,0,0
8978546,prey,2015/04/04 2:29 PM EAT,04/04/2015,2015-04-04 11:29:00 UTC,Nairobi,,721309,ryanweakley,2017-11-29 16:58:06 UTC,2018-01-14 17:34:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8978546,https://www.inaturalist.org/observations/8978546,https://static.inaturalist.org/photos/12109573/medium.jpg?1511974371,,,Preyed upon Red Lechwe,FALSE,4,0,FALSE,,Botswana,-19.2179449,22.7850008,206,,,FALSE,,,Southern African Python,Python natalensis,Southern African Python,Reptilia,111451,,Kobus leche,Included,Mammalia,Artiodactyla,,Bovidae,,Kobus,1,1,0,0
9241212,S-Afr-Interactions (8-1-20),2017/12/23 11:07 AM SAST,12/23/2017,2017-12-23 09:07:00 UTC,Africa/Johannesburg,,662724,bushboy,2017-12-23 14:50:54 UTC,2018-06-19 06:18:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9241212,https://www.inaturalist.org/observations/9241212,https://static.inaturalist.org/photos/12509171/medium.jpeg?1514039190,,,"<h3>Triangulate their outraged eyes</h3>
3 weaver spp (Yellow, Thick-billed & Red Bishop) join in a frenzied mobbing of a large male (green here) Boomslang, but he still succeeded in getting at least one nestling for an early lunch. I shot round the dam for a close-up, but the snake was far too well camouflaged for me ...",FALSE,1,0,FALSE,,TC Robertson NR,-30.28159987,30.75225055,4,,,FALSE,,,Boomslang (typus),Dispholidus typus,Common Boomslang,Reptilia,30360,,Ploceus subaureus,Included,Aves,Passeriformes,,Ploceidae,,Ploceus,1,1,0,0
