url,field.eating...interaction.,field.eating,field.preying.on,field.hunting,field.hunting.feeding,field.interaction..preyed.on,field.prey.taxon,field.prey.id,field.feeding.on,field.depredando
http://www.inaturalist.org/observations/105440,,Rodentia,Sylvilagus floridanus,,,,,,,
http://www.inaturalist.org/observations/1503585,,Anaxyrus,Anaxyrus americanus,,,,,,,
https://www.inaturalist.org/observations/5419051,hemidactylus mabouia,Hemidactylus turcicus,Hemidactylus mabouia,,,,,,,
https://www.inaturalist.org/observations/7250284,https://www.inaturalist.org/observations/7250287,Cyprinodon variegatus,,,,Nerodia clarkii compressicauda,,,,
https://www.inaturalist.org/observations/9395773,https://www.inaturalist.org/observations/9396115,Hemidactylus mabouia,,,,Gekkota,,,,
https://www.inaturalist.org/observations/11023363,,Aepyceros melampus,,,,Aepyceros melampus melampus,,,,
https://www.inaturalist.org/observations/12914425,,Ictaluridae,Ictalurus punctatus,,,,,,,
https://www.inaturalist.org/observations/15175936,,Virginia,,,,Virginia valeriae,,,,
https://www.inaturalist.org/observations/17308761,,Elgaria coerulea,,,,Elgaria coerulea principis,,,,
https://www.inaturalist.org/observations/19576702,,,Passeriformes,,,Aves,,,,
https://www.inaturalist.org/observations/20996653,https://www.inaturalist.org/observations/21026757,Cordylus niger,,,,Sauria,,,,
https://www.inaturalist.org/observations/23501003,,Sciuridae,,,,Sciurus carolinensis,,,,
https://www.inaturalist.org/observations/25784337,,Anaxyrus,Anaxyrus fowleri,,,,,,,
https://www.inaturalist.org/observations/26085492,,Gekkonidae,,,,Gekkota,,,,
https://www.inaturalist.org/observations/26253424,,Anaxyrus,,,,Anaxyrus fowleri,,,,
https://www.inaturalist.org/observations/35598849,,Rhinella marina,,,,Frogs and Toads,,,,
https://www.inaturalist.org/observations/36736777,,Passeriformes,,,,Thraupis palmarum,,,,
https://www.inaturalist.org/observations/37575008,,Anura,,,,Smilisca baudinii,,,,
https://www.inaturalist.org/observations/41575185,,Caudata,,,,Animalia,,,,
https://www.inaturalist.org/observations/48230926,,Faxonius,Astacoidea,,,Astacoidea,,,,
https://www.inaturalist.org/observations/49901375,,Astacoidea,Cambaridae,,,Astacoidea,,,,
https://www.inaturalist.org/observations/50723624,,Actinopterygii,,,,,,Ameiurus natalis,,
https://www.inaturalist.org/observations/53679542,,Actinopterygii,,,,Animalia,,,,
https://www.inaturalist.org/observations/55036367,,,,,,Pantherophis obsoletus,,Pantherophis,,
https://www.inaturalist.org/observations/57299235,,Ictaluridae,Ameiurus,,,,,,,
https://www.inaturalist.org/observations/59179495,,Anaxyrus americanus,,,,Anura,,,,
https://www.inaturalist.org/observations/61324707,,Rodentia,,,,Cricetidae,,,,
https://www.inaturalist.org/observations/64807050,,Actinopterygii,Phoxinus,,,,,,,
https://www.inaturalist.org/observations/67600050,,Falco,,,,Falco sparverius,,,,
https://www.inaturalist.org/observations/70386206,,Rhacophorus malabaricus,,,,,,,Anura,
https://www.inaturalist.org/observations/70444494,,Ictaluridae,Ameiurus natalis,,,,,,,
https://www.inaturalist.org/observations/74181660,,,Sceloporus occidentalis,,,Western Fence Lizard,,,,
https://www.inaturalist.org/observations/74838775,,,Aves,,,Columbidae,,,,
https://www.inaturalist.org/observations/78886598,,,Actinopterygii,,,"Minnows, Suckers, Carps, and Loaches",,,,
https://www.inaturalist.org/observations/81759222,,,Rodentia,,,Myomorpha,,,,
https://www.inaturalist.org/observations/82423240,,,,,,Carphophis vermis,Scincella lateralis,Carphophis vermis,,
https://www.inaturalist.org/observations/91645081,,,,,,Capra hircus,Capra,,,
https://www.inaturalist.org/observations/108628356,,,Anaxyrus americanus,,,,,,Anaxyrus,
https://www.inaturalist.org/observations/109290407,,Mammalia,,,,Rodentia,,,,
https://www.inaturalist.org/observations/111716589,,,Scincidae,,,Plestiodon,,,,
https://www.inaturalist.org/observations/112064182,https://www.inaturalist.org/observations/112141716,Aepyceros melampus,,,,Aepyceros melampus melampus,,,,
https://www.inaturalist.org/observations/112321379,,,Sciurus,,,Sciurus niger,,,,
https://www.inaturalist.org/observations/114111976,,,Pteropus conspicillatus,,,Spectacled Flying Fox,,,,
https://www.inaturalist.org/observations/114115142,,Anura,,,,Frogs and Toads,,,,
https://www.inaturalist.org/observations/116339521,,Anura,Leptodactylus labyrinthicus,,,,,,,
